"ID","context_id","context_title","context_length","context","question","answer","start position","question type"
"0","0","Penyebab Perang Badar (1)","713","Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.","Siapa yang menjadi penyebab terjadinya perang Badar Kubra?","Sariyah Abdullah Ibn Jahsy","508","who"
"1","0","Penyebab Perang Badar (1)","713","Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.","Kapan perang Badar terjadi?","tahun kedua","251","when"
"2","0","Penyebab Perang Badar (1)","713","Pada saat Nabi sudah hijrah ke Madinah masih sering terjadi peperangan antara orang Islam dengan kafir Quraisy, diantaranya adalah perang Badar. Perang badar merupakan salah satu perang yang sangat menentukan masa depan negara Islam yang terjadi pada tahun kedua di daerah Badar kurang lebih 120 km dari Madinah. Perang badar ada tiga macam, yaitu perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq) terjadi pada abad keempat hijrah. Perang badar kubra didahului oleh Sariyah Abdullah Ibn Jahsy ke daerah Nakhlah yang berada di antara Mekkah dan Thaif yang terjadi pada bulan Rajab tahun ke-2 H. Sariyah inilah yang menjadi penyebab paling kuat terhadap perang Badar Kubra.","Apa saja macam-macam perang Badar yang terjadi?","perang badar pertama, perang badar kubra, dan perang badar yang terakhir (Ghazwah al-Sawiq)","348","what"
"3","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Siapa yang mempersiapkan perang Badar sebenarnya?","Abu Ubaidah Amir ibn Al-Jarah","36","who"
"4","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Siapa yang diutus oleh Nabi untuk mengintai Quraisy?","Abdullah ibn Jahsy","140","who"
"5","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Berapa lama jarak waktu yang harus ditempuh sebelum membuka?","dua hari","297","how many"
"6","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Siapa saja yang tersesat di daerah Ma'dan?","Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan","467","who"
"7","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Apa yang terdapat dalam rombongan unta Quraisy?","Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan","744","what"
"8","1","Penyebab Perang Badar bagian (2)","1754","Sebenarnya Nabi telah memerintahkan Abu Ubaidah Amir ibn Al-Jarah untuk mempersiapkan perang, namun tidak jadi, dan sebagai gantinya diutus Abdullah ibn Jahsy yang diikuti 8 orang muhajirin, dan Nabi menulis kepadanya dan memerintahkan agar tidak dibuka kecuali setelah menempuh perjalanan selama dua hari. Setelah dibuka ternyata sahabat ini disuruh berhenti di Nakhlah untuk mengintai Quraisy dan mencari berita tentang gerakan dan pengaturan perang mereka. Adapun Sa'd Ibn Abul Waqash dan Utbah ibn Ghazawan tersesat di daerah Ma'dan yang disebut dengan Bahran. Sehingga Ibn Jahsy berjalan bersama sahabat lainnya sampai di Nakhlah. Kemudian ia melihat rombongan unta Quraisy membawa Anggur dan lain-lainnya. Di dalam rombongan itu terdapat Amr ibn Al-Khadlrami, Utsman ibn Al-Mughirah, Naufal, Al-Hakam Ibn Kisan, dan Ukasyah Ibn Mihshan sebagai pemimpinnya. Berundinglah para sariyah Islam ini tepatnya pada akhir Rajab karena bingung, jika rombongan ini dibiarkan pada malam ini saja maka mereka akan masuk tanah Haram, dan jika diperangi maka saat ini masih akhir bulan haram (Rajab). Kemudian sariyah ini termotivasi untuk membunuh siapa saja dari rombongan Quraisy yang dapat dilakukannya. Waqid ibn Abdullah al-Tamimi berhasil memanah Amr ibn Al-Khadlrami dan mati. Sementara Utsman Ibn Abdullah dan Al-Hakam ibn Kisan ditawan sedang Naufal berhasil lari. Kemudian Sariyah membawa tawanan ke Madinah. Dan disebutkan juga bahwa Abdulullah Ibn Jahsy membagi hasil rampasan ini seperlimanya kepada Rasulullah padahal hal itu sebelum turun ayat rampasan, hanya saja Nabi mengingkari perang Sariyah ini pada bulan haram dan tidak mau mengambil sesuatupun darinya, seraya berkata ""aku tidak memerintahkan kamu sekalian untuk perang pada bulan haram"".","Kapan para sariyah Islam melakukan perundingan?","akhir Rajab","913","when"
"9","2","Fase Perang Badar Kubra (1, 2, 3)","1501","Pertama, Kafilah Quraisy yang dipimpin Abu Sufyan datang dari arah Syam menuju Makah dengan membawa harta dan dagangan. Menurut Ibnu Hisyam dari Ibn Ishaq mereka ini terdiri dari 30/40 orang Quraisy, diantaranya adalah Makhramah Ibn Naufal dan Amr Ibn Al-Ash ibn Wa'il ibn Hisyam. Sedang dalam kitab Al-Thabari Ka'ab ibn Lu'ai, hal ini berdasarkan riwayat dari Ali bin Nashr bin Ali, dan Abdul Warits dari bapaknya dari Abban Al-Thar dari Hisyam bin Urwah dari Urwah bahwa dia telah menulis kepada Abdul Malik bin Marwan. Namun Al-Thabari juga mengutip dari Ibnu Ishaq dengan jalur dari Ibnu Hamid dari Salmah dari Muhammad bin Ishaq bahwa jumlah rombongan Quraisy tersebut adalah 30/40 orang.

Kedua, berita kafilah ini sampai kepada Nabi, kemudian Muhammad mensunnahkan sahabatnya untuk menghalangi kafilah tersebut. Siapa tahu nanti mendapati rizki dari mereka. Sehingga sebagian sahabat merasa keberatan dan sebagiannya tidak, karena perintah Rasul ini bukanlah suatu kewajiban tetapi hanya sebatas menghalangi mereka, dan sahabat tidak mengira jika Nabi akan menghadapi peperangan.

Ketiga, Abu Sufyan setelah dekat Hijaz mencari tahu terus-menerus kepada para penunggang yang berpapasan dengannya tentang Muhammad dan sahabatnya. Ternyata benar bahwa Muhammad telah mengerahkan sahabatnya untuk menghalangi kafilah. Abu Sufyan sangat takut dan memerintahkan diam-diam Ibn Amr Al-Ghifari ke Mekkah untuk mengumpulkan Quraisy agar menyelamatkan rombongannya dari kelompok Muhammad dan sahabatnya.","Siapa yang memimpin kafilah Quraisy yang datang dari arah Syam menuju Mekkah?","Abu Sufyan","39","who"
